Des unites toutes les secondes !!!
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
1000,1,1
1000,1,2
1000,1,3
1000,1,4
1000,1,5
