De l'argent... mais des unites a detruire !!!
1000,0,C'est parti pour 5 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,0,Attention, un freeze dans 5s et 5 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,2,3000
3000,0,Et voici une jolie recompense
1000,3,10000
1000,0,C'est parti pour 10 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,0,Attention, un freeze dans 5s et 5 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,2,3000
3000,0,Et encore une jolie recompense
1000,3,20000
1000,0,C'est parti pour 10 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,0,Attention, un freeze dans 5s et 5 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,2,3000
3000,0,Et encore une jolie recompense
1000,3,20000
1000,0,C'est parti pour 10 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,0,Attention, un freeze dans 5s et 5 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,2,3000
3000,0,Et encore une jolie recompense
1000,3,20000
1000,0,C'est parti pour 10 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,0,Attention, un freeze dans 5s et 5 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,2,3000
3000,0,Et encore une jolie recompense
1000,3,20000
1000,0,C'est parti pour 10 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,0,Attention, un freeze dans 5s et 5 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,2,3000
3000,0,Et encore une jolie recompense
1000,3,20000
1000,0,C'est parti pour 10 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,0,Attention, un freeze dans 5s et 5 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,2,3000
3000,0,Et encore une jolie recompense
1000,3,20000
1000,0,C'est parti pour 10 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,0,Attention, un freeze dans 5s et 5 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,2,3000
3000,0,Et encore une jolie recompense
1000,3,20000
1000,0,C'est parti pour 10 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,0,Attention, un freeze dans 5s et 5 chars
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,1,5
1000,2,3000
3000,0,Et encore une jolie recompense
1000,3,20000
